user_address,amount,percent,LV aidrop,LV total supply,LV bag P0.05%,LV bag total,,,,,,,,,,,,,
0x0b809ca00e52c7ed54044b764d2bf4928578eced,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x5c0bd1d80495781f509928b61b6258fe2cae3c31,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x332665de6e3cef4de2683c0922ad8c3f767db206,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x92bb39f9e60dfe9e22096bc5f5547e1d90a71750,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x74b7adceb2105983294c0ca516580e2718295086,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x8e850678673bfc5ef14e4e342644d7d5cc758523,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x0d7b542a7df03edda8800ffb597b3332b00591e2,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x9b4a050e6dd6a239a03886a01ced9d5f64b2479f,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x530e282303f421314ea4785eb45ad1b6cc42bf5b,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xa5736b5deef021ac60f6639dead2f0b240c8d70e,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x88db43c8c992992436bc92c0dd5d2952da389dcc,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x56b271b7289c9c0b2e16db7fab065ba2586dbb89,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x889e2c18d4a8ec2637fcaac6f35f219d350579a5,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xd0c738f289deb12ac0b8587235fb015357ba1eb4,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xf14a9c6ab5a59f46e5b676405ed5ad0a0a6b87d6,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x7a28c4cef82afee0605c45219b36ee5690f42aa6,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x36671c0d2db7299ea7f6464bc629ead670779e67,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x8829e61fda2e8805db11ec43b474cee04d7234ba,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x5efeb95d7e6a729efcdb7a225b8758febb03168a,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xe9a1ae78abe238681e96809ef2c3ca138c96c748,100,0.167%,836.33,,,,,,,,,,,,,,,,
